ID;FACTURA_CODIGO;FACTURA_FECHA;FACTURA_TIPO;SUBSCRIBER_ID;CUENTA_CODIGO;FACTURA_MONTO;FACTURA_FECHA_VENCIMIENTO;CONSULTOR_CODIGO
3;21760009;4/04/2021;FACTURA_VENTA_INICIAL;;112124841;600000000;05-APR-21;
10;21760004;4/04/2021;FACTURA_VENTA_INICIAL;1127012939;112124812;600000000;05-APR-21;juan.obando
26;21760017;4/04/2021;FACTURA_VENTA_INICIAL;2127013932;112124881;350000000;05-APR-21;luis.riapira
32;21762021;5/04/2021;FACTURA_VENTA_INICIAL;2127015578;112125026;450000000;05-APR-21;azucena.hernandez
34;11700025;3/04/2021;FACTURA_VENTA_INICIAL;1126409532;212084482;30000000;05-APR-21;david.estupinan
37;11700027;3/04/2021;FACTURA_VENTA_INICIAL;1126409730;112084484;30000000;05-APR-21;
39;11697017;3/04/2021;FACTURA_VENTA_INICIAL;1126409172;112084467;30000000;05-APR-21;edwin.restrepo
40;11699016;3/04/2021;FACTURA_VENTA_INICIAL;1126409334;212084462;30000000;05-APR-21;deisy.valencia
42;21761003;4/04/2021;FACTURA_VENTA_INICIAL;1127012937;112124810;600000000;05-APR-21;santiago.henao
45;11700033;3/04/2021;FACTURA_VENTA_INICIAL;;112084467;30000000;05-APR-21;edwin.restrepo
59;21759011;4/04/2021;FACTURA_VENTA_INICIAL;;112124862;600000000;05-APR-21;
68;11697022;3/04/2021;FACTURA_VENTA_INICIAL;1126409894;112084497;30000000;05-APR-21;
89;21759004;4/04/2021;FACTURA_VENTA_INICIAL;1127012938;112124813;600000000;05-APR-21;john.garcia
90;21761002;4/04/2021;FACTURA_VENTA_INICIAL;1127012829;212124811;600000000;05-APR-21;monica.villa
99;11699018;3/04/2021;FACTURA_VENTA_INICIAL;1126409244;112084459;30000000;05-APR-21;edwin.restrepo
102;21763043;5/04/2021;FACTURA_VENTA_INICIAL;2127016224;112125065;450000000;05-APR-21;sergio.vasquez
122;11700026;3/04/2021;FACTURA_VENTA_INICIAL;1126409631;212084486;30000000;05-APR-21;david.estupinan
123;11701030;3/04/2021;FACTURA_VENTA_INICIAL;1126409658;212084493;30000000;05-APR-21;
133;11701037;3/04/2021;FACTURA_VENTA_INICIAL;;112084452;30000000;05-APR-21;edwin.restrepo
141;11700014;3/04/2021;FACTURA_VENTA_INICIAL;1126407756;212084451;30000000;05-APR-21;deisy.valencia
142;21759005;4/04/2021;FACTURA_VENTA_INICIAL;1127013036;112124809;600000000;05-APR-21;yeimy.giraldo
144;21761050;5/04/2021;FACTURA_VENTA_INICIAL;;112125064;600000000;05-APR-21;
148;21812858;9/04/2021;FACTURA_VENTA_INICIAL;1127961429;112185209;3599000000;09-APR-21;cristhian.cruzado
149;11822491;10/04/2021;FACTURA_VENTA_INICIAL;1128172190;212198471;50000000;12-APR-21;
